国际地磁台站网 https://intermagnet.org/ 有一批开源台站数据，其中欧洲地区的台站质量较高且分布较为密集。

以下为以Long，Lat排序的台站,注意跨越子午线:

Code,Station,Country,Latitude,Longitude
VAL,Valentia,Ireland,51.9330,-10.2500
STT,San Teotonio,Portugal,37.5467,-8.7277
SFS,San Fernando,Spain,36.6670,-5.9450
HAD,Hartland,United Kingdom,51.0000,-4.4800
SPT,San Pablo-Toledo,Spain,39.5500,-4.3500
ESK,Eskdalemuir,United Kingdom,55.3140,-3.2060
EBR,Ebro,Spain,40.8200,0.4930
DOU,Dourbes,Belgium,50.1000,4.6000
MAB,Manhay,Belgium,50.2980,5.6820
BFO,Black Forest,Germany,48.3310,8.3250
WNG,Wingst,Germany,53.7430,9.0730
FUR,Furstenfeldbruck,Germany,48.1700,11.2800
BFE,Brorfelde,Denmark,55.6250,11.6720
NGK,Niemegk,Germany,52.0700,12.6800
AQU,L'Aquila,Italy,42.3800,13.3200
BDV,Budkov,Czech Republic,49.0800,14.0200
DUR,Duronia,Italy,41.6500,14.4700
WIC,Conrad Observatory,Austria,47.9305,15.8657
LON,Lonjsko Polje,Croatia,45.4081,16.6592
NCK,Nagycenk,Hungary,47.6300,16.7200
THY,Tihany,Hungary,46.9000,17.8900
HRB,Hurbanovo,Slovakia,47.8730,18.1900
HLP,Hel,Poland,54.6035,18.8107
GCK,Grocka,Republic of Serbia,44.6330,20.7670
BEL,Belsk,Poland,51.8360,20.7890
LVV,Lviv,Ukraine,49.9000,23.7500
PEG,Pedeli,Greece,38.0800,23.9300
PAG,Panagjurishte,Bulgaria,42.5150,24.1770
SUA,Surlari,Romania,44.6800,26.2500
ISK,Istanbul-Kandilli,Turkey,41.0630,29.0620
IZN,Iznik,Turkey,40.5000,29.7200
KIV,Kiev,Ukraine,50.7170,30.3000
